2023PassengerRank;AirportCode;AirportName;CityName;StateName;AverageFareDolar;InflationAdjustedAverageFareDolarBaseQuarterQ22024;2023Passengers10Sample;Quarter;Year
613;BRO;Brownsville South Padre Island International;Brownsville;TX;439,97;454,05;11.778; QUARTER 02 ;2023
614;BLV;Scott AFB MidAmerica St Louis;Belleville;IL;148,52;153,27;11.648; QUARTER 02 ;2023
615;LCK;Rickenbacker International;Columbus;OH;158,19;163,25;11.358; QUARTER 02 ;2023
616;AVP;Wilkes Barre Scranton International;Scranton/Wilkes-Barre;PA;583,84;602,51;10.980; QUARTER 02 ;2023
617;BFL;Meadows Field;Bakersfield;CA;588,37;607,19;10.949; QUARTER 02 ;2023
618;CRW;West Virginia International Yeager;Charleston/Dunbar;WV;578,37;596,87;10.901; QUARTER 02 ;2023
619;ILG;New Castle;Wilmington;DE;139,11;143,56;10.544; QUARTER 02 ;2023
620;FAY;Fayetteville Regional/Grannis Field;Fayetteville;NC;512,69;529,09;10.358; QUARTER 02 ;2023
621;BMI;Central Il Regional Airport at Bloomington;Bloomington/Normal;IL;461,92;476,7;10.058; QUARTER 02 ;2023
622;GTF;Great Falls International;Great Falls;MT;496,29;512,17;10.016; QUARTER 02 ;2023
623;ASE;Aspen Pitkin County Sardy Field;Aspen;CO;689,2;711,24;9.899; QUARTER 02 ;2023
624;DRO;Durango La Plata County;Durango;CO;626,39;646,42;9.868; QUARTER 02 ;2023
625;PSE;Mercedita;Ponce;PR;221,15;228,23;9.661; QUARTER 02 ;2023
626;MGM;Montgomery Regional;Montgomery;AL;534,61;551,71;9.415; QUARTER 02 ;2023
627;RFD;Chicago/Rockford International;Rockford;IL;201,88;208,33;9.153; QUARTER 02 ;2023
628;EVV;Evansville Regional;Evansville;IN;568,74;586,93;9.122; QUARTER 02 ;2023
629;MTJ;Montrose Regional;Montrose/Delta;CO;453;467,49;9.103; QUARTER 02 ;2023
630;STX;Henry E. Rohlsen;Christiansted;VI;401,4;414,24;9.035; QUARTER 02 ;2023
631;MOT;Minot International;Minot;ND;595,42;614,47;8.945; QUARTER 02 ;2023
632;LRD;Laredo International;Laredo;TX;448,43;462,77;8.342; QUARTER 02 ;2023
633;OAJ;Albert J Ellis;Jacksonville/Camp Lejeune;NC;551,93;569,58;8.128; QUARTER 02 ;2023
634;ORH;Worcester Regional;Worcester;MA;264,34;272,8;8.008; QUARTER 02 ;2023
635;SCE;University Park;State College;PA;606,63;626,03;7.736; QUARTER 02 ;2023
636;DLH;Duluth International;Duluth;MN;553,37;571,07;7.095; QUARTER 02 ;2023
637;SGU;St George Regional;St. George;UT;557,85;575,69;6.989; QUARTER 02 ;2023
638;ACV;California Redwood Coast Humboldt County;Arcata/Eureka;CA;532,17;549,19;6.883; QUARTER 02 ;2023
639;USA;Concord Padgett Regional;Concord;NC;131,49;135,7;6.546; QUARTER 02 ;2023
640;HDN;Yampa Valley;Hayden;CO;518,89;535,49;6.249; QUARTER 02 ;2023
641;LAN;Capital Region International;Lansing;MI;408,24;421,3;6.241; QUARTER 02 ;2023
642;LNK;Lincoln Airport;Lincoln;NE;573,27;591,61;6.200; QUARTER 02 ;2023
643;GRK;Robert Gray AAF;Killeen;TX;567,63;585,79;6.064; QUARTER 02 ;2023
644;SAF;Santa Fe Municipal;Santa Fe;NM;592,51;611,47;5.952; QUARTER 02 ;2023
645;HTS;Tri-State/Milton J. Ferguson Field;Ashland;WV;240,82;248,52;5.924; QUARTER 02 ;2023
646;EGE;Eagle County Regional;Eagle;CO;705,55;728,12;5.921; QUARTER 02 ;2023
647;GFK;Grand Forks International;Grand Forks;ND;528,28;545,18;5.675; QUARTER 02 ;2023
648;XWA;Williston Basin International;Williston;ND;705,45;728,01;5.671; QUARTER 02 ;2023
649;AZO;Kalamazoo/Battle Creek International;Kalamazoo;MI;435,34;449,27;5.605; QUARTER 02 ;2023
650;COU;Columbia Regional;Columbia;MO;592,48;611,43;5.582; QUARTER 02 ;2023
651;LBE;Arnold Palmer Regional;Latrobe;PA;143,24;147,82;5.578; QUARTER 02 ;2023
652;ELM;Elmira/Corning Regional;Elmira/Corning;NY;410,46;423,59;5.423; QUARTER 02 ;2023
653;SWF;New York Stewart International;Newburgh/Poughkeepsie;NY;185,98;191,93;5.417; QUARTER 02 ;2023
654;MLU;Monroe Regional;Monroe;LA;636,43;656,79;5.408; QUARTER 02 ;2023
655;BET;Bethel Airport;Bethel;AK;402,15;415,02;5.407; QUARTER 02 ;2023
656;KTN;Ketchikan International;Ketchikan;AK;499,49;515,47;5.398; QUARTER 02 ;2023
657;PBG;Plattsburgh International;Plattsburgh;NY;261,86;270,24;5.344; QUARTER 02 ;2023
658;MBS;MBS International;Saginaw/Bay City/Midland;MI;526,64;543,48;5.302; QUARTER 02 ;2023
659;ACK;Nantucket Memorial;Nantucket;MA;264,82;273,29;5.188; QUARTER 02 ;2023
660;AEX;Alexandria International;Alexandria;LA;617,85;637,61;5.155; QUARTER 02 ;2023
661;RDD;Redding Regional;Redding;CA;446,26;460,54;5.155; QUARTER 02 ;2023
662;LCH;Lake Charles Regional;Lake Charles;LA;520,77;537,43;5.029; QUARTER 02 ;2023
663;CPR;Casper/Natrona County International;Casper;WY;677,88;699,56;4.873; QUARTER 02 ;2023
664;HLN;Helena Regional;Helena;MT;612,56;632,16;4.836; QUARTER 02 ;2023
665;TOL;Eugene F Kranz Toledo Express;Toledo;OH;172,95;178,48;4.810; QUARTER 02 ;2023
666;ABI;Abilene Regional;Abilene;TX;637,96;658,37;4.793; QUARTER 02 ;2023
667;SCK;Stockton Metro;Stockton;CA;130,74;134,92;4.631; QUARTER 02 ;2023
668;CWA;Central Wisconsin;Mosinee;WI;651,61;672,46;4.622; QUARTER 02 ;2023
669;LYH;Lynchburg Regional/Preston Glenn Field;Lynchburg;VA;591,32;610,24;4.574; QUARTER 02 ;2023
670;GUM;Guam International;Guam;TT;1684,95;1738,85;4.555; QUARTER 02 ;2023
671;RST;Rochester International;Rochester;MN;519,72;536,35;4.541; QUARTER 02 ;2023
672;SUN;Friedman Memorial;Sun Valley/Hailey/Ketchum;ID;655,34;676,31;4.395; QUARTER 02 ;2023
673;PHF;Newport News/Williamsburg International;Newport News/Williamsburg;VA;540,99;558,3;4.214; QUARTER 02 ;2023
674;YUM;Yuma MCAS/Yuma International;Yuma;AZ;724,02;747,18;4.144; QUARTER 02 ;2023
675;GRI;Central Nebraska Regional;Grand Island;NE;349,06;360,23;4.002; QUARTER 02 ;2023
676;IAG;Niagara Falls International;Niagara Falls;NY;208,45;215,12;3.822; QUARTER 02 ;2023
677;CMI;University of Illinois/Willard;Champaign/Urbana;IL;703,18;725,68;3.785; QUARTER 02 ;2023
678;SIT;Sitka Rocky Gutierrez;Sitka;AK;452,72;467,2;3.673; QUARTER 02 ;2023
679;PUW;Pullman Moscow Regional;Pullman;WA;519,48;536,1;3.553; QUARTER 02 ;2023
680;PSM;Portsmouth International at Pease;Portsmouth;NH;244,34;252,15;3.481; QUARTER 02 ;2023
681;ADQ;Kodiak Airport;Kodiak;AK;518,43;535,01;3.479; QUARTER 02 ;2023
682;HHH;Hilton Head Airport;Hilton Head;SC;415,4;428,69;3.467; QUARTER 02 ;2023
683;FSM;Fort Smith Regional;Fort Smith;AR;716,04;738,94;3.382; QUARTER 02 ;2023
684;FLG;Flagstaff Pulliam;Flagstaff;AZ;674,73;696,31;3.362; QUARTER 02 ;2023
685;CLL;Easterwood Field;College Station/Bryan;TX;580,47;599,04;3.332; QUARTER 02 ;2023
686;TYR;Tyler Pounds Regional;Tyler;TX;602,53;621,81;3.276; QUARTER 02 ;2023
687;SPI;Abraham Lincoln Capital;Springfield;IL;362,8;374,41;3.274; QUARTER 02 ;2023
688;ITH;Ithaca Tompkins International;Ithaca/Cortland;NY;511,28;527,63;3.264; QUARTER 02 ;2023
689;MVY;Martha's Vineyard Airport;Martha's Vineyard;MA;272,29;281;3.228; QUARTER 02 ;2023
690;EWN;Coastal Carolina Regional;New Bern/Morehead/Beaufort;NC;723,74;746,89;3.215; QUARTER 02 ;2023
691;ERI;Erie International/Tom Ridge Field;Erie;PA;539,59;556,86;3.068; QUARTER 02 ;2023
692;SBY;Salisbury-Ocean City/Wicomico Regional;Salisbury;MD;694,5;716,72;3.037; QUARTER 02 ;2023
693;ACT;Waco Regional;Waco;TX;596,76;615,85;3.025; QUARTER 02 ;2023
694;SJT;San Angelo Regional/Mathis Field;San Angelo;TX;743,98;767,78;2.921; QUARTER 02 ;2023
695;MHK;Manhattan Regional;Manhattan/Ft. Riley;KS;527,79;544,67;2.865; QUARTER 02 ;2023
696;CSG;Columbus Airport;Columbus;GA;569,65;587,88;2.822; QUARTER 02 ;2023
697;TXK;Texarkana Regional-Webb Field;Texarkana;AR;538,56;555,79;2.694; QUARTER 02 ;2023
698;CKB;North Central West Virginia;Clarksburg/Fairmont;WV;193,76;199,96;2.660; QUARTER 02 ;2023
699;LAW;Lawton-Fort Sill Regional;Lawton/Fort Sill;OK;524,91;541,7;2.653; QUARTER 02 ;2023
700;BGM;Greater Binghamton/Edwin A. Link Field;Binghamton;NY;317,12;327,26;2.533; QUARTER 02 ;2023
701;ROW;Roswell Air Center;Roswell;NM;597,42;616,53;2.529; QUARTER 02 ;2023
702;VLD;Valdosta Regional;Valdosta;GA;642,87;663,44;2.469; QUARTER 02 ;2023
703;HGR;Hagerstown Regional-Richard A. Henson Field;Hagerstown;MD;155,69;160,67;2.423; QUARTER 02 ;2023
704;OME;Nome Airport;Nome;AK;625,86;645,88;2.355; QUARTER 02 ;2023
705;VRB;Vero Beach Regional;Vero Beach;FL;159,62;164,72;2.325; QUARTER 02 ;2023
706;LSE;La Crosse Regional;La Crosse;WI;655,28;676,24;2.234; QUARTER 02 ;2023
707;MQT;Marquette Sawyer Regional;Marquette;MI;571,74;590,03;2.119; QUARTER 02 ;2023
708;BPT;Jack Brooks Regional;Beaumont/Port Arthur;TX;501,31;517,35;2.092; QUARTER 02 ;2023
709;GGG;East Texas Regional;Longview;TX;519,9;536,54;2.060; QUARTER 02 ;2023
710;OTZ;Ralph Wien Memorial;Kotzebue;AK;552,36;570,03;2.052; QUARTER 02 ;2023
711;GTR;Golden Triangle Regional;Columbus;MS;679,73;701,48;2.044; QUARTER 02 ;2023
712;SWO;Stillwater Regional;Stillwater;OK;533,18;550,24;2.031; QUARTER 02 ;2023
713;PPG;Pago Pago International;Pago Pago;TT;1237,75;1277,35;1.996; QUARTER 02 ;2023
714;LWS;Lewiston Nez Perce County;Lewiston;ID;614,75;634,42;1.989; QUARTER 02 ;2023
715;BRW;Wiley Post/Will Rogers Memorial;Barrow;AK;498,12;514,05;1.904; QUARTER 02 ;2023
716;PGV;Pitt Greenville;Greenville;NC;488,61;504,24;1.856; QUARTER 02 ;2023
717;ABY;Southwest Georgia Regional;Albany;GA;717,92;740,89;1.792; QUARTER 02 ;2023
718;COD;Yellowstone Regional;Cody;WY;684,98;706,9;1.708; QUARTER 02 ;2023
719;DHN;Dothan Regional;Dothan;AL;741,59;765,31;1.695; QUARTER 02 ;2023
720;STC;St. Cloud Regional;St. Cloud;MN;214,48;221,34;1.609; QUARTER 02 ;2023
721;SPS;Sheppard AFB/Wichita Falls Municipal;Wichita Falls;TX;606,8;626,21;1.570; QUARTER 02 ;2023
722;GUC;Gunnison-Crested Butte Regional;Gunnison;CO;606,42;625,82;1.543; QUARTER 02 ;2023
723;GCC;Northeast Wyoming Regional;Gillette;WY;707,33;729,96;1.516; QUARTER 02 ;2023
724;BJI;Bemidji Regional;Bemidji;MN;706,21;728,8;1.501; QUARTER 02 ;2023
725;EAT;Pangborn Memorial;Wenatchee;WA;561,73;579,7;1.473; QUARTER 02 ;2023
726;SCC;Deadhorse Airport;Deadhorse;AK;538,24;555,46;1.463; QUARTER 02 ;2023
727;DIK;Dickinson - Theodore Roosevelt Regional;Dickinson;ND;601,89;621,15;1.460; QUARTER 02 ;2023
728;SBD;San Bernardino International;San Bernardino;CA;114,38;118,04;1.434; QUARTER 02 ;2023
729;CIU;Chippewa County International;Sault Ste. Marie;MI;639,17;659,62;1.409; QUARTER 02 ;2023
730;SHR;Sheridan County;Sheridan;WY;668,32;689,7;1.408; QUARTER 02 ;2023
731;GCK;Garden City Regional;Garden City;KS;641,37;661,89;1.388; QUARTER 02 ;2023
732;BQK;Brunswick Golden Isles;Brunswick;GA;595,19;614,23;1.362; QUARTER 02 ;2023
733;ART;Watertown International;Watertown;NY;419,4;432,82;1.358; QUARTER 02 ;2023
734;ABR;Aberdeen Regional;Aberdeen;SD;704,11;726,64;1.351; QUARTER 02 ;2023
735;ALW;Walla Walla Regional;Walla Walla;WA;441,37;455,49;1.346; QUARTER 02 ;2023
736;DLG;Dillingham Airport;Dillingham;AK;522,85;539,58;1.344; QUARTER 02 ;2023
737;FLO;Florence Regional;Florence;SC;506,85;523,06;1.341; QUARTER 02 ;2023
738;HOB;Lea County Regional;Hobbs;NM;536,17;553,32;1.296; QUARTER 02 ;2023
739;DBQ;Dubuque Regional;Dubuque;IA;130,45;134,62;1.288; QUARTER 02 ;2023
740;YKM;Yakima Air Terminal/McAllister Field;Yakima;WA;544,96;562,39;1.263; QUARTER 02 ;2023
741;RHI;Rhinelander/Oneida County;Rhinelander;WI;667,51;688,86;1.234; QUARTER 02 ;2023
742;TWF;Joslin Field - Magic Valley Regional;Twin Falls;ID;690,75;712,85;1.214; QUARTER 02 ;2023
743;PLN;Pellston Regional Airport of Emmet County;Pellston;MI;772,06;796,76;1.212; QUARTER 02 ;2023
744;IMT;Ford;Iron Mountain/Kingsfd;MI;630,36;650,53;1.207; QUARTER 02 ;2023
745;EAU;Chippewa Valley Regional;Eau Claire;WI;228,8;236,12;1.201; QUARTER 02 ;2023
746;SPN;Francisco C. Ada Saipan International;Saipan;TT;754,14;778,26;1.197; QUARTER 02 ;2023
747;PQI;Presque Isle International;Presque Isle/Houlton;ME;539,58;556,84;1.142; QUARTER 02 ;2023
748;PIH;Pocatello Regional;Pocatello;ID;805,37;831,13;1.017; QUARTER 02 ;2023
749;SUX;Sioux Gateway Brig Gen Bud Day Field;Sioux City;IA;515,02;531,49;995; QUARTER 02 ;2023
750;PSG;Petersburg James A Johnson;Petersburg;AK;501,83;517,89;981; QUARTER 02 ;2023
751;CMX;Houghton County Memorial;Hancock/Houghton;MI;626,89;646,95;979; QUARTER 02 ;2023
752;RKS;Southwest Wyoming Regional;Rock Springs;WY;673,07;694,6;945; QUARTER 02 ;2023
753;AKN;King Salmon Airport;King Salmon;AK;622,76;642,69;935; QUARTER 02 ;2023
754;LAR;Laramie Regional;Laramie;WY;548,88;566,44;910; QUARTER 02 ;2023
755;BRD;Brainerd Lakes Regional;Brainerd;MN;631,67;651,87;901; QUARTER 02 ;2023
756;RIW;Central Wyoming Regional;Riverton/Lander;WY;678,85;700,57;890; QUARTER 02 ;2023
757;BTM;Bert Mooney;Butte;MT;585,48;604,21;889; QUARTER 02 ;2023
758;HYA;Cape Cod Gateway;Hyannis;MA;239,74;247,41;884; QUARTER 02 ;2023
759;CYS;Cheyenne Regional/Jerry Olson Field;Cheyenne;WY;463,63;478,46;880; QUARTER 02 ;2023
760;ESC;Delta County;Escanaba;MI;545,19;562,63;862; QUARTER 02 ;2023
761;SMX;Santa Maria Public/Capt. G. Allan Hancock Field;Santa Maria;CA;111,81;115,39;828; QUARTER 02 ;2023
762;LBF;North Platte Regional Airport Lee Bird Field;North Platte;NE;546,28;563,76;800; QUARTER 02 ;2023
763;HIB;Range Regional;Hibbing;MN;690,34;712,42;774; QUARTER 02 ;2023
764;VEL;Vernal Regional;Vernal;UT;526,32;543,16;759; QUARTER 02 ;2023
765;CDV;Merle K Mudhole Smith;Cordova;AK;483,27;498,73;758; QUARTER 02 ;2023
766;EAR;Kearney Regional;Kearney;NE;545,12;562,56;737; QUARTER 02 ;2023
767;EKO;Elko Regional;Elko;NV;671,61;693,09;722; QUARTER 02 ;2023
768;ALO;Waterloo Regional;Waterloo;IA;573,55;591,9;702; QUARTER 02 ;2023
769;MEI;Key Field;Meridian;MS;510,42;526,75;701; QUARTER 02 ;2023
770;OTH;Southwest Oregon Regional;North Bend/Coos Bay;OR;502,19;518,25;690; QUARTER 02 ;2023
771;WRG;Wrangell Airport;Wrangell;AK;562,32;580,31;648; QUARTER 02 ;2023
772;CDC;Cedar City Regional;Cedar City;UT;506,67;522,88;641; QUARTER 02 ;2023
773;JST;John Murtha Johnstown-Cambria County;Johnstown;PA;461,19;475,94;640; QUARTER 02 ;2023
774;PIR;Pierre Regional;Pierre;SD;613,58;633,21;619; QUARTER 02 ;2023
775;VCT;Victoria Regional;Victoria;TX;482,55;497,98;616; QUARTER 02 ;2023
776;PRC;Prescott Regional Ernest A Love Field;Prescott;AZ;656,9;677,92;568; QUARTER 02 ;2023
777;BFF;Western Neb. Regional/William B. Heilig Field;Scottsbluff;NE;532,99;550,04;557; QUARTER 02 ;2023
778;CNY;Canyonlands Regional;Moab;UT;416,62;429,95;555; QUARTER 02 ;2023
779;BFM;Mobile International;Mobile;AL;76,93;79,39;551; QUARTER 02 ;2023
780;DEC;Decatur Airport;Decatur;IL;585,01;603,72;536; QUARTER 02 ;2023
781;INL;Falls International Einarson Field;International Falls;MN;652,88;673,77;511; QUARTER 02 ;2023
782;APN;Alpena County Regional;Alpena;MI;691,6;713,72;506; QUARTER 02 ;2023
783;SLN;Salina Regional;Salina;KS;418,4;431,78;489; QUARTER 02 ;2023
784;OWB;Owensboro Daviess County Regional;Owensboro;KY;179,36;185,1;478; QUARTER 02 ;2023
785;ATY;Watertown Regional;Watertown;SD;502,73;518,81;469; QUARTER 02 ;2023
786;PAH;Barkley Regional;Paducah;KY;617,11;636,86;446; QUARTER 02 ;2023
787;JLN;Joplin Regional;Joplin;MO;545,59;563,05;430; QUARTER 02 ;2023
788;PIB;Hattiesburg-Laurel Regional;Hattiesburg/Laurel;MS;581,72;600,33;393; QUARTER 02 ;2023
789;JMS;Jamestown Regional;Jamestown;ND;561,76;579,73;388; QUARTER 02 ;2023
790;LBL;Liberal Mid-America Regional;Liberal;KS;474,72;489,9;383; QUARTER 02 ;2023
791;SHD;Shenandoah Valley Regional;Staunton;VA;556,47;574,27;373; QUARTER 02 ;2023
792;ALS;San Luis Valley Regional/Bergman Field;Alamosa;CO;530,27;547,23;372; QUARTER 02 ;2023
793;BIH;Bishop Airport;Bishop;CA;516,93;533,46;338; QUARTER 02 ;2023
794;YAK;Yakutat Airport;Yakutat;AK;520,94;537,61;330; QUARTER 02 ;2023
795;HYS;Hays Regional;Hays;KS;546,01;563,48;327; QUARTER 02 ;2023
796;CVN;Clovis Regional;Clovis;NM;576,41;594,85;326; QUARTER 02 ;2023
797;DRT;Del Rio International;Del Rio;TX;354,5;365,84;320; QUARTER 02 ;2023
798;DVL;Devils Lake Regional;Devils Lake;ND;573,57;591,92;315; QUARTER 02 ;2023
799;DDC;Dodge City Regional;Dodge City;KS;464,32;479,17;297; QUARTER 02 ;2023
800;WYS;Yellowstone;West Yellowstone;MT;374,74;386,73;287; QUARTER 02 ;2023
801;BKW;Raleigh County Memorial;Beckley;WV;561,71;579,68;265; QUARTER 02 ;2023
802;OGS;Ogdensburg International;Ogdensburg;NY;544,72;562,15;246; QUARTER 02 ;2023
803;MWA;Veterans Airport of Southern Illinois;Marion/Herrin;IL;502,5;518,57;239; QUARTER 02 ;2023
804;IPL;Imperial County;El Centro;CA;435;448,92;234; QUARTER 02 ;2023
805;LWB;Greenbrier Valley;Lewisburg;WV;560,78;578,72;234; QUARTER 02 ;2023
806;LEB;Lebanon Municipal;Lebanon-Hanover;NH;524,47;541,25;216; QUARTER 02 ;2023
807;FOD;Fort Dodge Regional;Fort Dodge;IA;458,84;473,52;214; QUARTER 02 ;2023
808;DUT;Unalaska Airport;Unalaska;AK;1448,92;1495,27;202; QUARTER 02 ;2023
809;PUB;Pueblo Memorial;Pueblo;CO;501,17;517,2;193; QUARTER 02 ;2023
810;CGI;Cape Girardeau Regional;Cape Girardeau;MO;454,75;469,3;191; QUARTER 02 ;2023
811;MKG;Muskegon County;Muskegon;MI;530,09;547,05;188; QUARTER 02 ;2023
812;TBN;Waynesville-St. Robert Regional Forney Field;Fort Leonard Wood;MO;472,43;487,54;188; QUARTER 02 ;2023
813;MBL;Manistee County-Blacker;Manistee/Ludington;MI;393,85;406,45;178; QUARTER 02 ;2023
814;GST;Gustavus Airport;Gustavus;AK;210,95;217,7;175; QUARTER 02 ;2023
815;MCW;Mason City Municipal;Mason City;IA;441;455,11;173; QUARTER 02 ;2023
816;AUG;Augusta State;Augusta/Waterville;ME;511,94;528,32;168; QUARTER 02 ;2023
817;TEX;Telluride Regional;Telluride;CO;727,14;750,4;168; QUARTER 02 ;2023
818;BHB;Hancock County-Bar Harbor;Bar Harbor;ME;582,95;601,59;161; QUARTER 02 ;2023
819;PKB;Mid-Ohio Valley Regional;Parkersburg;WV;481,83;497,24;161; QUARTER 02 ;2023
820;IWD;Gogebic-Iron County;Ironwood;MI;587,92;606,73;155; QUARTER 02 ;2023
821;CEZ;Cortez Municipal;Cortez;CO;504,41;520,54;143; QUARTER 02 ;2023
822;UIN;Quincy Regional-Baldwin Field;Quincy;IL;458,54;473,21;140; QUARTER 02 ;2023
823;RKD;Knox County Regional;Rockland;ME;539,52;556,78;137; QUARTER 02 ;2023
824;DUJ;DuBois Regional;DuBois;PA;509,51;525,81;134; QUARTER 02 ;2023
825;MGW;Morgantown Municipal Walter L Bill Hart Field;Morgantown;WV;555,16;572,92;123; QUARTER 02 ;2023
826;RUT;Rutland - Southern Vermont Regional;Rutland;VT;586,38;605,14;120; QUARTER 02 ;2023
827;ENA;Kenai Municipal;Kenai;AK;609,56;629,06;120; QUARTER 02 ;2023
828;TUP;Tupelo Regional;Tupelo;MS;486,3;501,86;120; QUARTER 02 ;2023
829;LNS;Lancaster Airport;Lancaster;PA;501,64;517,69;118; QUARTER 02 ;2023
830;PVC;Provincetown Municipal;Provincetown;MA;783,18;808,23;116; QUARTER 02 ;2023
831;BRL;Southeast Iowa Regional;Burlington;IA;379,82;391,97;110; QUARTER 02 ;2023
832;PGA;Page Municipal;Page;AZ;436,26;450,22;109; QUARTER 02 ;2023
833;AIA;Alliance Municipal;Alliance;NE;712,16;734,94;99; QUARTER 02 ;2023
834;AOO;Altoona-Blair County;Altoona;PA;516,76;533,3;94; QUARTER 02 ;2023
835;IRK;Kirksville Regional;Kirksville;MO;430,08;443,84;92; QUARTER 02 ;2023
836;TVF;Thief River Falls Regional;Thief River Falls;MN;507;523,22;90; QUARTER 02 ;2023
837;SDY;Sidney Richland Regional;Sidney;MT;595,83;614,89;90; QUARTER 02 ;2023
838;HOM;Homer Airport;Homer;AK;757,14;781,36;89; QUARTER 02 ;2023
839;MSL;Northwest Alabama Regional;Muscle Shoals;AL;475,29;490,5;87; QUARTER 02 ;2023
840;GLH;Greenville Mid Delta;Greenville;MS;562,17;580,15;84; QUARTER 02 ;2023
841;BFD;Bradford Regional;Bradford;PA;486,85;502,42;76; QUARTER 02 ;2023
842;SLK;Adirondack Regional;Saranac Lake/Lake Placid;NY;439,25;453,3;64; QUARTER 02 ;2023
843;MCK;McCook Ben Nelson Regional;McCook;NE;530,88;547,86;62; QUARTER 02 ;2023
844;VQS;Antonio Rivera Rodriguez;Vieques;PR;749,94;773,93;59; QUARTER 02 ;2023
845;CDR;Chadron Municipal;Chadron;NE;386,15;398,5;57; QUARTER 02 ;2023
846;ADK;Adak;Adak Island;AK;795,47;820,91;56; QUARTER 02 ;2023
847;SOW;Show Low Regional;Show Low;AZ;416,85;430,18;54; QUARTER 02 ;2023
848;MSS;Massena International-Richards Field;Massena;NY;599,16;618,32;53; QUARTER 02 ;2023
849;MAZ;Eugenio Maria de Hostos;Mayaguez;PR;597,42;616,53;52; QUARTER 02 ;2023
850;ELD;South Arkansas Regional at Goodwin Field;El Dorado;AR;543,4;560,78;44; QUARTER 02 ;2023
851;HRO;Boone County;Harrison;AR;517,42;533,97;44; QUARTER 02 ;2023
852;CNM;Cavern City Air Terminal;Carlsbad;NM;630,54;650,71;36; QUARTER 02 ;2023
853;HOT;Memorial Field;Hot Springs;AR;551;568,63;34; QUARTER 02 ;2023
854;MKK;Molokai;Hoolehua;HI;683,83;705,71;34; QUARTER 02 ;2023
855;MKL;McKellar-Sipes Regional;Jackson;TN;382,83;395,08;32; QUARTER 02 ;2023
856;VDZ;Valdez Pioneer Field;Valdez;AK;601,44;620,68;27; QUARTER 02 ;2023
857;HVR;Havre City-County;Havre;MT;691,38;713,49;24; QUARTER 02 ;2023
858;OLF;L. M. Clayton;Wolf Point;MT;898;926,73;21; QUARTER 02 ;2023
859;GDV;Dawson Community;Glendive;MT;474,5;489,68;20; QUARTER 02 ;2023
860;PDT;Eastern Oregon Regional at Pendleton;Pendleton;OR;845,75;872,8;17; QUARTER 02 ;2023
861;GGW;Wokal Field Glasgow Valley County;Glasgow;MT;451;465,43;13; QUARTER 02 ;2023
862;CPX;Benjamin Rivera Noriega;Culebra;PR;421,67;435,16;12; QUARTER 02 ;2023
863;CDB;Cold Bay Airport;Cold Bay;AK;1858;1917,44;10; QUARTER 02 ;2023
864;JBR;Jonesboro Municipal;Jonesboro;AR;356,33;367,73;9; QUARTER 02 ;2023
865;MCN;Middle Georgia Regional;Macon;GA;573,4;591,74;6; QUARTER 02 ;2023
866;SGY;Skagway Airport;Skagway;AK;866;893,7;6; QUARTER 02 ;2023
867;LNY;Lanai Airport;Lanai;HI;272;280,7;5; QUARTER 02 ;2023
868;JHM;Kapalua Airport;Kapalua;HI;760;784,31;4; QUARTER 02 ;2023
869;SDP;Sand Point;Sandpoint;AK;1029;1061,92;3; QUARTER 02 ;2023
870;UNK;Unalakleet Airport;Unalakleet;AK;526,5;543,34;3; QUARTER 02 ;2023
871;HNS;Haines Airport;Haines;AK;702,5;724,97;2; QUARTER 02 ;2023
872;FRD;Friday Harbor Airport;Friday Harbor;WA;525;541,79;2; QUARTER 02 ;2023
873;HNH;Hoonah Airport;Hoonah;AK;704;726,52;2; QUARTER 02 ;2023
874;MUE;Waimea-Kohala;Kamuela;HI;244;251,81;2; QUARTER 02 ;2023
875;LAX;Los Angeles International;Los Angeles;CA;387,43;396,39;1.253.716; QUARTER 03 ;2023
876;ORD;Chicago O'Hare International;Chicago-O'Hare;IL;363,95;372,37;1.032.358; QUARTER 03 ;2023
877;DEN;Denver International;Denver;CO;334,41;342,14;995.251; QUARTER 03 ;2023
878;ATL;Hartsfield-Jackson Atlanta International;Atlanta;GA;382,2;391,04;981.435; QUARTER 03 ;2023
879;EWR;Newark Liberty International;Newark;NJ;385,87;394,79;930.056; QUARTER 03 ;2023
880;BOS;Logan International;Boston;MA;357,72;365,99;920.214; QUARTER 03 ;2023
881;SEA;Seattle/Tacoma International;Seattle;WA;379,96;388,75;861.535; QUARTER 03 ;2023
882;DFW;Dallas/Fort Worth International;Dallas-DFW;TX;411,19;420,7;836.341; QUARTER 03 ;2023
883;MCO;Orlando International;Orlando;FL;254,52;260,41;828.554; QUARTER 03 ;2023
884;SFO;San Francisco International;San Francisco;CA;419,02;428,71;811.808; QUARTER 03 ;2023
885;PHX;Phoenix Sky Harbor International;Phoenix;AZ;363,18;371,57;793.797; QUARTER 03 ;2023
886;LGA;LaGuardia;New York-La Guardia;NY;309,38;316,53;730.774; QUARTER 03 ;2023
887;JFK;John F. Kennedy International;New York-JFK;NY;396,42;405,59;715.113; QUARTER 03 ;2023
888;LAS;Harry Reid International;Las Vegas;NV;264,38;270,5;672.945; QUARTER 03 ;2023
889;MSP;Minneapolis-St Paul International;Minneapolis;MN;386,79;395,74;612.265; QUARTER 03 ;2023
